cid,isosmiles
1983,CC(=O)NC1=CC=C(C=C1)O
2244,CC(=O)OC1=CC=CC=C1C(=O)O
4064,CCCC(C)(COC(=O)N)COC(=O)N
4635,CN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)OC)O4)O
5161,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O
6247,CC(=O)OC1=CC=CC=C1C(=O)[O-].CC(=O)OC1=CC=CC=C1C(=O)[O-].[Ca+2]
8591,CC(=O)OC1=CC=CC=C1C(=O)[O-].CC(=O)OC1=CC=CC=C1C(=O)[O-].[Mg+2]
10745,CC(=O)OC1=CC=CC=C1C(=O)OC2=CC=CC=C2C(=O)O
15110,CC(=O)OC1=CC=CC=C1C(=O)OC(=O)C2=CC=CC=C2OC(=O)C
21102,CC(=O)NC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2OC(=O)C
24666,CCOC1=CC=C(C=C1)NC(=O)C.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C
30987,CC(=O)OC1=CC=CC=C1C(=O)[O-].C(C(=O)[O-])N.[Ca+2]
31869,CC(=O)OC1=CC=CC=C1C(=O)[O-].CC(=O)OC1=CC=CC=C1C(=O)[O-].[Cu+2]
44219,CC(=O)OC1=CC=CC=C1C(=O)[O-].C(CC[NH3+])CC(C(=O)O)N
53040,CC(C)C1=C(N(N(C1=O)C2=CC=CC=C2)C)CNC(=O)C3=CC=CC=C3CC(=O)O
68484,CC(=O)OC1=CC=CC=C1C(=O)OC
68749,CC(=O)OC1=CC=CC=C1C(=O)OC2=CC=CC=C2OC
73922,CC(=O)OC1=C(C=C(C=C1)Br)C(=O)O
79668,CC(=O)OC1=CC=CC=C1C(=O)Cl
83966,CC(=O)NC1=CC=C(C=C1)O.CC(=O)OC1=CC=CC=C1C(=O)O
91626,CC(=O)OC1=CC=CC=C1C(=O)O.C(CCN)C[C@@H](C(=O)O)N
92244,CC(=O)OC1=CC=CC=C1C(=O)[O-].CC(=O)OC1=CC=CC=C1C(=O)[O-].CC(=O)OC1=CC=CC=C1C(=O)[O-].CC(=O)OC1=CC=CC=C1C(=O)[O-].[Cu+2].[Cu+2]
98522,CCCC(C)(COC(=O)N)COC(=O)N.CCOC(=O)C1(CCCN(CC1)C)C2=CC=CC=C2.CC(=O)OC1=CC=CC=C1C(=O)O
119032,CC(=O)OC1=CC=CC=C1C(=O)OC2=CC=CC(=C2)CO[N+](=O)[O-]
131294,CCC(=O)O[C@](CC1=CC=CC=C1)(C2=CC=CC=C2)[C@H](C)CN(C)C.CC(=O)OC1=CC=CC=C1C(=O)O.C1=CC=C2C=C(C=CC2=C1)S(=O)(=O)O
133162,CCOC1=CC=C(C=C1)NC(=O)C.CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.Cl
133472,CC(=O)OC1=C(C=C(C=C1)NC(=O)CCC(=O)O)C(=O)O
137329,CC(=O)OC1=CC=CC=C1C(=O)O.C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO
145904,CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
150256,CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C
150304,CC(=O)NC1=CC=C(C=C1)O.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC=C(C(=C1)C(=O)N)O
156866,CCOC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=CC=CC=C2OC(=O)C
162733,CC(=O)OC1=CC=CC=C1C(=O)O.C(C(=O)[O-])N.C(=O)([O-])[O-].[OH-].[OH-].[Mg+2].[Al+3]
169926,CC(=O)OC1=CC=CC=C1C(=O)O.C(C[C@@H](C(=O)O)N)CN=C(N)N
171511,CC(=O)OC1=CC=CC=C1C(=O)O.[O-2].[Mg+2]
